,country,GWP_import,year,GWP_export
6,CH,80093632669.5,1999,16842698367.2
7,CN,218283984742.0,1999,756034840638.0
8,CY,7031407530.5,1999,3383580578.13
9,CZ,27514561382.9,1999,33960127852.2
10,DE,450501630149.0,1999,180982805179.0
11,DK,37488025173.8,1999,22479548339.2
12,EE,5655875004.9,1999,7044236634.86
13,ES,156968151661.0,1999,72826904821.7
14,FI,38553489367.7,1999,21164354825.2
15,FR,272798646229.0,1999,108691125863.0
16,GB,325781453412.0,1999,133477154962.0
17,GR,50153925634.6,1999,24158241687.7
18,HR,11644219313.5,1999,5933826956.52
19,HU,30644782001.7,1999,16834867145.6
20,ID,73772058787.7,1999,135948185319.0
21,IE,36531803606.2,1999,31202718633.1
22,IN,130408976819.0,1999,155374558305.0
23,IT,317435258694.0,1999,85465079931.8
24,JP,487549430849.0,1999,166385566828.0
25,KR,141317955669.0,1999,97044066992.4
26,LT,9355002507.79,1999,4113386463.94
27,LU,5430678557.36,1999,2961075951.31
28,LV,9501894287.05,1999,3251857233.62
29,MT,3087276541.52,1999,1111306637.89
30,MX,105218699811.0,1999,71664161356.5
31,NL,131812266091.0,1999,87237886860.0
32,NO,37028543123.1,1999,40800056220.1
33,PL,65118240613.6,1999,69343119470.1
34,PT,37895660988.2,1999,11724881394.9
35,RO,14818547101.0,1999,25908469003.7
36,RU,93415133736.2,1999,886564635387.0
37,SE,61294467026.0,1999,22554816282.3
38,SI,10372322217.1,1999,3209894772.86
39,SK,17525210583.2,1999,11095791597.2
40,TR,81122902209.4,1999,39007547240.4
41,TW,132969849347.0,1999,85321821663.0
42,US,1364948384640.0,1999,512285546280.0
43,WA,553124787958.0,1999,809602675224.0
44,WE,54838550316.2,1999,177149091229.0
45,WF,130791168060.0,1999,375894466454.0
46,WL,219838967248.0,1999,292258275438.0
47,WM,244091540179.0,1999,499400735636.0
48,ZA,22420901125.8,1999,119093725551.0
0,AT,49317638513.3,2000,17911522924.6
1,AU,98847460305.3,2000,186876926128.0
2,BE,78683222612.2,2000,68209570745.7
3,BG,8633851396.89,2000,15343113445.1
4,BR,87764057440.8,2000,67262721843.6
5,CA,131656389689.0,2000,222261788614.0
6,CH,79892267587.3,2000,18377780545.0
7,CN,266880856448.0,2000,802904062194.0
8,CY,16353956756.7,2000,3740149765.91
9,CZ,34241441778.5,2000,33914762683.5
10,DE,423544129023.0,2000,194570422804.0
11,DK,44645809315.5,2000,26779002851.4
12,EE,5901487458.55,2000,5523380962.49
13,ES,170332886395.0,2000,78105543246.7
14,FI,46718561605.7,2000,22582560624.0
15,FR,298105267323.0,2000,114674605727.0
16,GB,348615505872.0,2000,148570043451.0
17,GR,55722420350.7,2000,33049372809.6
18,HR,13156726456.0,2000,7012279140.38
19,HU,50127840901.8,2000,18695671530.9
20,ID,68585417382.2,2000,151609822052.0
21,IE,33884050030.6,2000,34884523503.4
22,IN,101717416888.0,2000,194092362405.0
23,IT,305232344028.0,2000,96507925563.2
24,JP,552048521567.0,2000,175329068071.0
25,KR,175748474264.0,2000,110530567934.0
26,LT,12144994044.5,2000,4609630991.02
27,LU,6421600424.19,2000,3960014135.47
28,LV,9907852468.45,2000,3154792136.26
29,MT,3463766108.53,2000,1124015345.41
30,MX,124576315075.0,2000,71321728463.1
31,NL,141843922678.0,2000,95324029681.5
32,NO,40361916256.4,2000,51274280259.7
33,PL,87818111499.2,2000,75185723078.0
34,PT,39513042678.4,2000,13454258029.6
35,RO,16617901879.5,2000,27554902653.2
36,RU,116735869567.0,2000,911678306313.0
37,SE,74085486429.4,2000,23800832497.8
38,SI,11208758702.0,2000,4919209606.74
39,SK,30387648485.5,2000,10786759289.6
40,TR,84816354522.9,2000,39457030356.6
41,TW,154527363451.0,2000,89363310530.0
42,US,1526233412760.0,2000,502084947613.0
43,WA,557883981208.0,2000,890169134323.0
44,WE,65087168605.1,2000,190804906983.0
45,WF,123126262374.0,2000,417411900860.0
46,WL,214852171213.0,2000,296721770533.0
47,WM,267247832724.0,2000,576295015847.0
48,ZA,25632642128.7,2000,131076325583.0
0,AT,51133315727.0,2001,18183967146.4
1,AU,101598062734.0,2001,211788918824.0
2,BE,83402645449.7,2001,66560088330.4
3,BG,8521569253.53,2001,14786264524.0
4,BR,89497006554.2,2001,113668544846.0
5,CA,138323008252.0,2001,237547889763.0
6,CH,75488540553.7,2001,17754678854.4
7,CN,332290162938.0,2001,815898489450.0
8,CY,15390008565.3,2001,3561380037.11
9,CZ,33859446435.5,2001,37486081824.9
10,DE,405883934146.0,2001,198705719621.0
11,DK,43687699759.2,2001,26640060208.2
12,EE,6717158134.93,2001,6405965675.08
13,ES,174655511737.0,2001,81995866151.6
14,FI,45513031222.3,2001,22590647933.8
15,FR,300784457358.0,2001,110262650744.0
16,GB,372897005596.0,2001,145297666406.0
17,GR,56241497546.3,2001,37646740489.0
18,HR,13287363909.9,2001,6921651184.18
19,HU,48255898083.7,2001,16689120203.0
20,ID,71632838069.6,2001,146376443584.0
21,IE,36868763519.9,2001,32908423531.7
22,IN,105434028431.0,2001,226992425469.0
23,IT,298532477726.0,2001,98591184800.0
24,JP,530634972336.0,2001,181783305855.0
25,KR,178584721995.0,2001,126142787056.0
26,LT,10349873826.1,2001,5041302950.76
27,LU,8120214114.93,2001,4470824206.64
28,LV,10153458468.7,2001,3460385947.51
29,MT,2725508921.06,2001,1022742577.63
30,MX,136394676077.0,2001,71085284982.5
31,NL,149881125534.0,2001,93053289508.8
32,NO,42857012035.3,2001,47885857785.0
33,PL,84959856336.9,2001,77578929243.4
34,PT,40801102615.8,2001,12718812356.0
35,RO,18137404811.5,2001,26542200143.2
36,RU,125761073094.0,2001,849209513584.0
37,SE,68727548699.1,2001,23599817687.2
38,SI,10382146986.3,2001,5246046843.42
39,SK,27688489850.7,2001,11524823361.7
40,TR,58583009170.2,2001,62133614753.7
41,TW,126096651123.0,2001,88984088622.0
42,US,1517673571110.0,2001,533774012946.0
43,WA,506060601775.0,2001,921432744202.0
44,WE,107381482505.0,2001,189350333563.0
45,WF,159108535623.0,2001,379685779989.0
46,WL,236448017671.0,2001,288441696150.0
47,WM,302228475601.0,2001,550306770430.0
48,ZA,23957890009.4,2001,143857017647.0
0,AT,48746060573.8,2002,19706946991.2
1,AU,110208692463.0,2002,195665345899.0
2,BE,83323862656.7,2002,60037318045.7
3,BG,7952600407.59,2002,13180581176.5
4,BR,83925500328.1,2002,137805121094.0
5,CA,137778880353.0,2002,239561501457.0
6,CH,76837360037.3,2002,15564107875.2
7,CN,362190306116.0,2002,872769160205.0
8,CY,13520511088.7,2002,3328729801.85
9,CZ,45265335806.3,2002,32385255083.8
10,DE,374578214379.0,2002,209072191339.0
11,DK,43134982736.8,2002,25769283047.6
12,EE,6687002814.95,2002,4820916017.55
13,ES,176063637873.0,2002,80525842511.1
14,FI,43060769008.8,2002,26145563305.8
15,FR,292542094526.0,2002,108548389762.0
16,GB,368516896481.0,2002,152513991275.0
17,GR,54526182288.0,2002,29641141850.1
18,HR,15779270799.5,2002,6984514457.46
19,HU,46713663338.9,2002,15213461443.7
20,ID,83791166049.4,2002,139617021543.0
21,IE,41427092855.3,2002,33571815126.8
22,IN,121899024753.0,2002,214563599173.0
23,IT,296947114139.0,2002,90268913877.5
24,JP,486041324397.0,2002,181488344871.0
25,KR,192437949860.0,2002,121074500547.0
26,LT,10540386629.1,2002,5019585445.32
27,LU,7914152494.78,2002,5134893488.32
28,LV,8623459911.43,2002,3273882954.15
29,MT,3092102061.02,2002,1235616429.41
30,MX,133582300860.0,2002,70559900848.9
31,NL,151535984251.0,2002,94294547798.7
32,NO,44012375340.3,2002,43783765908.7
33,PL,80171227770.9,2002,74868141355.8
34,PT,39173859974.2,2002,12561777452.5
35,RO,22074528011.6,2002,29825413518.1
36,RU,117131482921.0,2002,856157633010.0
37,SE,54223934490.0,2002,23255848711.5
38,SI,10172980757.5,2002,5420442064.12
39,SK,29581737618.5,2002,12608739175.1
40,TR,73119658245.4,2002,52666069545.6
41,TW,116572361838.0,2002,96450379028.8
42,US,1543774376580.0,2002,479989368277.0
43,WA,555068377841.0,2002,967194083609.0
44,WE,116924825175.0,2002,179261825774.0
45,WF,178649432147.0,2002,357637260824.0
46,WL,208643818554.0,2002,343116663585.0
47,WM,312963512143.0,2002,574508652407.0
48,ZA,25190553502.1,2002,137984876260.0
0,AT,49669931271.0,2003,19164627380.1
1,AU,119038157054.0,2003,151007190736.0
2,BE,84693687694.9,2003,52927465883.5
3,BG,9735281367.32,2003,13099292810.0
4,BR,74506375038.7,2003,145237886448.0
5,CA,150753428610.0,2003,221229420286.0
6,CH,74474860228.6,2003,14850765170.1
7,CN,423869819182.0,2003,1048390778810.0
8,CY,15694564046.3,2003,4026603347.87
9,CZ,38339693996.4,2003,30783163732.4
10,DE,396883064089.0,2003,207339451764.0
11,DK,41609426278.5,2003,25323025602.2
12,EE,7232814821.37,2003,5283257584.44
13,ES,183286583293.0,2003,81263500390.7
14,FI,49271172867.6,2003,24128209379.1
15,FR,301127691196.0,2003,106121628801.0
16,GB,362651819512.0,2003,126149468092.0
17,GR,62479944350.5,2003,30200449334.9
18,HR,17735299492.3,2003,5196459841.45
19,HU,52493803835.1,2003,14393826766.0
20,ID,74261518339.3,2003,147003273275.0
21,IE,40539395047.5,2003,28678249680.9
22,IN,116736399701.0,2003,219425784728.0
23,IT,308282339991.0,2003,89117309809.4
24,JP,505166185152.0,2003,202194769246.0
25,KR,200387109524.0,2003,124644662406.0
26,LT,10275590674.3,2003,4895965185.61
27,LU,7079753574.07,2003,5901708925.16
28,LV,9600885856.79,2003,2934273909.58
29,MT,3293977927.32,2003,1121488660.49
30,MX,115185397381.0,2003,90189624907.5
31,NL,147662757215.0,2003,89016711267.5
32,NO,39220821462.1,2003,42381747825.5
33,PL,77095433702.3,2003,77556702388.8
34,PT,38496728471.9,2003,13967097684.9
35,RO,18770790322.5,2003,32031867540.3
36,RU,134365263390.0,2003,841357661494.0
37,SE,54468617035.3,2003,21484216770.3
38,SI,9925589617.53,2003,4390215364.89
39,SK,31371110592.8,2003,13303051700.0
